посреди_Gen	3
к_Dat of	192
со_Ins	24
ни of	1
кругом_Gen	1
вдоль_Gen	5
сквозь_Acc	5
среди_Gen of	6
о_Acc	4
со_Gen	9
по_Dat of	135
вдоль_Gen of	5
позади_Gen	1
во_Acc of	20
а	14
или of	6
о_Loc	48
вроде_Gen	3
и	140
а of	14
словно	1
ко_Dat of	6
или	6
вроде_Gen of	3
но	6
ни	1
обо_Loc of	1
возле_Gen	2
чем	1
в_Acc	342
вслед_Dat	1
под_Ins of	17
впереди_Gen	1
вместо_Gen of	7
под_Acc	9
за_Ins	75
раз of	1
во_Acc	20
между_Ins of	15
на_Loc of	205
после_Gen	16
перед_Ins of	21
с_Ins of	247
сквозь_Acc of	5
к_Dat	192
против_Gen	4
что of	17
изо_Gen	2
сзади_Gen	1
поверх_Gen of	3
взамен_Gen of	1
от_Gen	99
впереди_Gen of	1
сзади_Gen of	1
после_Gen of	16
в_Acc of	342
изо_Gen of	2
во_Loc of	12
по_Acc	4
раз	1
на_Acc of	287
про_Acc	13
как of	20
со_Ins of	24
если of	2
кругом_Gen of	1
с_Acc	7
во_Loc	12
что	17
чем of	1
с_Gen	60
до_Gen of	40
об_Loc	8
словно of	1
за_Ins of	75
через_Acc of	23
до_Gen	40
о_Loc of	48
поверх_Gen	3
про_Acc of	13
кроме_Gen	12
в_Loc	319
из_Gen	121
с_Ins	247
посреди_Gen of	3
на_Acc	287
пока of	1
кроме_Gen of	12
на_Loc	205
об_Loc of	8
за_Acc of	66
из_Gen of	121
обо_Loc	1
под_Acc of	9
если	2
при_Loc of	15
при_Loc	15
против_Gen of	4
мимо_Gen of	3
вокруг_Gen of	7
у_Gen	130
от_Gen of	99
со_Gen of	9
для_Gen of	15
пока	1
среди_Gen	6
в_Loc of	319
путем_Gen	1
у_Gen of	130
через_Acc	23
над_Ins	12
под_Ins	17
над_Ins of	12
между_Ins	15
с_Acc of	7
путем_Gen of	1
вслед_Dat of	1
без_Gen	29
перед_Ins	21
позади_Gen of	1
ко_Dat	6
без_Gen of	29
с_Gen of	60
для_Gen	15
вокруг_Gen	7
по_Loc of	1
по_Loc	1
по_Dat	135
по_Acc of	4
но of	6
напротив_Gen	2
и of	140
взамен_Gen	1
вместо_Gen	7
напротив_Gen of	2
как	20
за_Acc	66
около_Gen	26
около_Gen of	26
мимо_Gen	3
возле_Gen of	2
о_Acc of	4
